State,Sales
Alabama,19510.64
Arizona,35282.001
Arkansas,11678.13
California,457576.2715
Colorado,32108.118
Connecticut,13384.357
Delaware,27451.069
District of Columbia,2865.02
Florida,89473.708
Georgia,49095.84
Idaho,4382.486
Illinois,80162.537
Indiana,53555.36
Iowa,4579.76
Kansas,2914.31
Kentucky,36591.75
Louisiana,9217.03
Maine,1270.53
Maryland,23705.523
Massachusetts,28634.434
Michigan,75879.644
Minnesota,29863.15
Mississippi,10771.34
Missouri,22205.15
Montana,5589.352
Nebraska,7464.93
Nevada,16729.102
New Hampshire,7292.524
New Jersey,35764.312
New Mexico,4783.522
New York,310827.151
North Carolina,55603.164
North Dakota,919.91
Ohio,77976.764
Oklahoma,19683.39
Oregon,17420.782
Pennsylvania,116496.36200000001
Rhode Island,22627.956
South Carolina,8481.71
South Dakota,1315.56
Tennessee,30661.873
Texas,170124.5418
Utah,11220.056
Vermont,8929.369999999999
Virginia,70636.72
Washington,138560.81
West Virginia,1209.824
Wisconsin,32114.61
Wyoming,1603.136
